n,a,b,c,f(a),f(b),f(c),Rel. Err.,
0,0,1,0.5,-5,3,1.175,
1,0,0.5,0.25,-5,1.175,-1.275,1,
2,0.25,0.5,0.375,-1.275,1.175,0.0976562,0.333333,
3,0.25,0.375,0.3125,-1.275,0.0976562,-0.550293,0.2,
4,0.3125,0.375,0.34375,-0.550293,0.0976562,-0.216907,0.0909091,
5,0.34375,0.375,0.359375,-0.216907,0.0976562,-0.0572952,0.0434783,
6,0.359375,0.375,0.367188,-0.0572952,0.0976562,0.0207602,0.0212766,
7,0.359375,0.367188,0.363281,-0.0572952,0.0207602,-0.0181223,0.0107527,
8,0.363281,0.367188,0.365234,-0.0181223,0.0207602,0.00135522,0.00534759,
9,0.363281,0.365234,0.364258,-0.0181223,0.00135522,-0.00837445,0.00268097,
10,0.364258,0.365234,0.364746,-0.00837445,0.00135522,-0.00350735,0.00133869,
11,0.364746,0.365234,0.36499,-0.00350735,0.00135522,-0.0010755,0.000668896,
12,0.36499,0.365234,0.365112,-0.0010755,0.00135522,0.000139999,0.000334336,
13,0.36499,0.365112,0.365051,-0.0010755,0.000139999,-0.000467715,0.000167196,
14,0.365051,0.365112,0.365082,-0.000467715,0.000139999,-0.000163849,8.35911e-05,
