n,a,b,c,f(a),f(b),f(c),Rel. Err.,
0,2,4,2.11429,-0.4,6.6,-0.975953,
1,2.11429,4,2.35721,-0.975953,6.6,-2.09232,0.103055,
2,2.35721,4,2.75264,-2.09232,6.6,-3.21584,0.143657,
3,2.75264,4,3.1613,-3.21584,6.6,-2.78575,0.129268,
4,3.1613,4,3.41023,-2.78575,6.6,-1.38636,0.0729956,
5,3.41023,4,3.51261,-1.38636,6.6,-0.506252,0.029146,
6,3.51261,4,3.54733,-0.506252,6.6,-0.163775,0.00978818,
7,3.54733,4,3.55829,-0.163775,6.6,-0.0508895,0.00308033,
8,3.55829,4,3.56167,-0.0508895,6.6,-0.0156143,0.000948921,
9,3.56167,4,3.56271,-0.0156143,6.6,-0.00477228,0.000290383,
10,3.56271,4,3.56302,-0.00477228,6.6,-0.00145684,8.86794e-05,
